date,EV Trend,Coronavirus Trend,Coronavirus_unscaled,Coronavirus_monthly,isPartial_x,scale_x,Electric vehicle_unscaled,Electric vehicle_monthly,isPartial_y,scale_y
2016-11-14,19.11,0.0,,,,,,,,
2016-11-17,17.009999999999998,0.0,,,,,,,,
2016-11-20,18.48,0.0,,,,,,,,
2016-11-24,5.46,0.0,,,,,,,,
2016-11-25,20.37,0.0,,,,,,,,
2016-11-26,13.65,0.0,,,,,,,,
2016-11-27,20.16,0.0,,,,,,,,
2016-11-30,15.75,0.0,,,,,,,,
2016-12-14,10.4,0.0,,,,,,,,
2017-01-03,19.53,0.0,,,,,,,,
2017-01-04,16.169999999999998,0.0,,,,,,,,
2017-01-13,13.44,0.0,,,,,,,,
2017-02-12,20.24,0.0,,,,,,,,
2017-02-13,19.36,0.0,,,,,,,,
2017-02-28,17.16,0.0,,,,,,,,
2017-03-04,14.91,0.0,,,,,,,,
2017-03-10,9.03,0.0,,,,,,,,
2017-03-14,19.95,0.0,,,,,,,,
2017-03-15,9.87,0.0,,,,,,,,
2017-03-19,16.59,0.0,,,,,,,,
2017-04-01,9.84,0.0,,,,,,,,
2017-04-02,19.92,0.0,,,,,,,,
2017-04-03,24.0,0.0,,,,,,,,
2017-04-04,14.88,0.0,,,,,,,,
2017-04-05,13.92,0.0,,,,,,,,
2017-04-06,17.759999999999998,0.0,,,,,,,,
2017-04-10,21.12,0.0,,,,,,,,
2017-04-11,16.56,0.0,,,,,,,,
2017-04-13,18.24,0.0,,,,,,,,
2017-04-14,18.72,0.0,,,,,,,,
2017-04-15,20.64,0.0,,,,,,,,
2017-04-16,12.72,0.0,,,,,,,,
2017-04-18,18.96,0.0,,,,,,,,
2017-04-20,21.6,0.0,,,,,,,,
2017-04-23,15.36,0.0,,,,,,,,
2017-04-24,19.2,0.0,,,,,,,,
2017-04-27,17.04,0.0,,,,,,,,
2017-04-29,9.12,0.0,,,,,,,,
2017-05-13,6.51,0.0,,,,,,,,
2017-05-19,7.14,0.0,,,,,,,,
2017-05-20,6.93,0.0,,,,,,,,
2017-05-29,8.19,0.0,,,,,,,,
2017-06-04,5.06,0.0,,,,,,,,
2017-06-10,7.04,0.0,,,,,,,,
2017-06-17,9.68,0.0,,,,,,,,
2017-06-23,12.1,0.0,,,,,,,,
2017-06-27,8.36,0.0,,,,,,,,
2017-06-30,18.04,0.0,,,,,,,,
2017-07-01,6.72,0.0,,,,,,,,
2017-07-02,7.68,0.0,,,,,,,,
2017-07-04,7.439999999999999,0.0,,,,,,,,
2017-07-07,11.04,0.0,,,,,,,,
2017-07-11,10.32,0.0,,,,,,,,
2017-07-17,8.16,0.0,,,,,,,,
2017-07-22,6.0,0.0,,,,,,,,
2017-07-28,6.96,0.0,,,,,,,,
2017-08-01,15.08,0.0,,,,,,,,
2017-08-02,22.36,0.0,,,,,,,,
2017-08-03,24.7,0.0,,,,,,,,
2017-08-05,17.94,0.0,,,,,,,,
2017-08-06,12.74,0.0,,,,,,,,
2017-08-09,17.42,0.0,,,,,,,,
2017-08-11,19.76,0.0,,,,,,,,
2017-08-12,17.68,0.0,,,,,,,,
2017-08-15,15.34,0.0,,,,,,,,
2017-08-18,16.12,0.0,,,,,,,,
2017-08-24,22.62,0.0,,,,,,,,
2017-08-29,13.26,0.0,,,,,,,,
2017-08-31,20.8,0.0,,,,,,,,
2017-09-01,23.76,0.0,,,,,,,,
2017-09-02,18.630000000000003,0.0,,,,,,,,
2017-09-03,14.580000000000002,0.0,,,,,,,,
2017-09-05,23.49,0.0,,,,,,,,
2017-09-06,26.19,0.0,,,,,,,,
2017-09-09,11.07,0.0,,,,,,,,
2017-09-10,20.520000000000003,0.0,,,,,,,,
2017-09-11,27.0,0.0,,,,,,,,
2017-09-12,23.22,0.0,,,,,,,,
2017-09-13,17.01,0.0,,,,,,,,
2017-09-14,14.85,0.0,,,,,,,,
2017-09-15,25.380000000000003,0.0,,,,,,,,
2017-09-16,16.470000000000002,0.0,,,,,,,,
2017-09-17,18.36,0.0,,,,,,,,
2017-09-19,20.25,0.0,,,,,,,,
2017-09-21,24.03,0.0,,,,,,,,
